0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	Moti	27.00
Střih	Číslo výrobku	EAN	Název	Typ výrobku	Provedení	S	MJ	Počet	Orintace	RAL	Barva základní části	Vzor	RAL	Barva dna, kapsy	Vzor	Typ	Materiál	Délka (m)	Šířka (mm)	Barva			Uchycení			NC-P	PC-P
001	001-05-01/0025	8595700100263	KLÁRA	Kabelka	0025	A	ks	3	Vodorovně	8001	Okrová hnědá		8024	Hnědobéžová		Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Pruhy 3 - sahara, siera, čokoláda	NIkl	509.03	801.65
001	001-05-01/0026	8595700100270	KLÁRA	Kabelka	0026	A	ks	3	Vodorovně	9005	Černá		1037	Sluneční žlutá		Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Pruhy 3 - černá, šedá, tmavá hořčice	NIkl	509.03	801.65
001	001-05-01/0027	8595700100287	KLÁRA	Kabelka	0027	A	ks	3	Vodorovně	9005	Černá		1037	Sluneční žlutá		Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Pruhy více pruhů - černá, šedá, tmavá hořčice	NIkl	509.03	801.65
001	001-05-01/0028	8595700100294	KLÁRA	Kabelka	0028	A	ks	3	Vodorovně	7035	Světle šedá		9005	Černá		Popruh	Bavlna	1,3	30	7035	Světle šedá		Karabiny	Pruhy 3 - šedá, černá, bílá	NIkl	509.03	801.65
001	001-05-01/0030	8595700100300	KLÁRA	Kabelka	0030	A	ks	1	-	7035	Světle šedá			-	 -	Popruh	Bavlna	1,3	30	7035	Světle šedá		Karabiny	Kapsa	NIkl	509.03	801.65
001	001-05-01/0031	8595700100317	KLÁRA	Kabelka	0031	A	ks	3	Vodorovně	7035	Světle šedá		5012	Světle modrá		Popruh	Bavlna	1,3	30	7035	Světle šedá		Karabiny	Pruhy více - šedá, modrá, tmavě modra	Nikl	509.03	801.65
001	001-05-01/0032	8595700100324	KLÁRA	Kabelka	0032	A	ks	3	Vodorovně	5022	Noční modrá		1037	Sluneční žlutá		Popruh	Bavlna	1,3	17	9005	Černá		Karabiny	Pruhy více - tmavě modrá, šedá, tmavá skořice	Nikl	509.03	801.65
001	001-05-01/0033	8595700110774	KLÁRA	Kabelka	0033	A	ks	2	Vodorovně	6008	Hnědozelená			Bílo-černé pruhy	 -	Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Pruhy více - bílo/černé pruhy , tajga	Nikl	559.03	901.65
001	001-05-01/0034	8595700110866	KLÁRA	Kabelka	0034	A	ks	3	Vodorovně	9005	Černá			Hnědozlatá folie	 -	Popruh	Kůže	1,3	17	9005	Černá		Karabiny	Pruhy 2 - černá, folie hnědozlatá	NIkl	670.00	1074.38
001	001-05-01/0035	8595700110873	KLÁRA	Kabelka	0035	A	ks	1	Vodorovně	6032	Signální zelená				 -	Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Na popruhu našíty v barvě kabelky papír s potiském Design-Ali	NIkl	670.00	1074.38
